name,gender,age,class,embarked,country,fare,survived
"Elias, Mr. Dibo",male,29,3rd,C,NA,7.0406,no
"Elias, Mr. Joseph jr.",male,15,3rd,C,Lebanon,7.0407,no
"Elias Nasrallah, Mr. Tannous",male,22,3rd,C,Lebanon,7.0407,no
"Elsbury, Mr. William James",male,48,3rd,S,England,7.05,no
"Emanuel, Miss. Virginia Ethel",female,5,3rd,S,United States,12.0906,yes
"Enander, Mr. Ingvar",male,21,2nd,S,Sweden,13,no
"Endres, Miss. Caroline Louise",female,39,1st,C,United States,247.1006,yes
"Estanislau, Mr. Manuel Gonçalves",male,37,3rd,S,NA,7.01,no
"Eustis, Miss. Elizabeth Mussey",female,54,1st,C,United States,78.0504,yes
"Evans, Miss. Edith Corse",female,36,1st,C,United States,31.1307,no
"Everett, Mr. Thomas James",male,38,3rd,S,England,15.02,no
"Fahlstrøm, Mr. Arne Joma",male,18,2nd,S,Norway,13,no
"Fardon, Mr. Charles Richard",male,46,3rd,S,England,7.05,no
"Farrell, Mr. James",male,26,3rd,Q,Ireland,7.15,no
"Farthing, Mr. John",male,49,1st,S,England,221.1507,no
"Faunthorpe, Mr. Harry Bartram",male,32,2nd,S,England,26,no
"Fillbrook, Mr. Joseph Charles",male,18,2nd,S,England,10.1,no
"Finoli, Mr. Luigi",male,34,3rd,S,NA,7.01,yes
"Fischer, Mr. Eberhard Thelander",male,18,3rd,S,Sweden,7.1511,no
"Flegenheim, Mrs. Antoinette",female,48,1st,C,United States,31.1308,yes
"Fleming, Miss. Honor",female,22,3rd,Q,Ireland,7.15,no
"Fleming, Miss. Margaret",female,42,1st,C,United States,110.1708,yes
"Flynn, Mr. James",male,28,3rd,Q,Ireland,7.15,no
"Flynn, Mr. John",male,48,3rd,Q,Ireland,6.19,no
"Flynn, Mr. John Irwin",male,36,1st,S,Canada,26.0509,yes
"Foley, Mr. Joseph",male,19,3rd,Q,Ireland,7.1707,no
"Foley, Mr. William",male,20,3rd,Q,Ireland,7.15,no
"Foo, Mr. Choong",male,32,3rd,S,NA,56.0911,yes
"Ford, Miss. Dollina Margaret",female,20,3rd,S,England,34.0706,no
"Ford, Miss. Robina Maggie",female,7,3rd,S,England,34.0706,no
"Ford, Mr. Arthur",male,23,3rd,S,England,8.01,no
"Ford, Mr. Edward Watson",male,18,3rd,S,England,34.0706,no
"Ford, Mrs. Margaret Ann Watson",female,54,3rd,S,Scotland,34.0706,no
"Ford, Mr. William Neal Thomas",male,14,3rd,S,England,34.0706,no
"Foreman, Mr. Benjamin Laventall",male,30,1st,S,United States,27.15,no
"Fortune, Miss. Alice Elizabeth",female,24,1st,S,Canada,263,yes
"Fortune, Miss. Ethel Flora",female,28,1st,S,Canada,263,yes
"Fortune, Miss. Mabel Helen",female,23,1st,S,Canada,263,yes
"Fortune, Mr. Charles Alexander",male,19,1st,S,Canada,263,no
"Fortune, Mr. Mark",male,64,1st,S,Canada,263,no
"Fortune, Mrs. Mary",female,60,1st,S,Canada,263,yes
"Fox, Mr. Patrick",male,28,3rd,Q,Ireland,7.15,no
"Fox, Mr. Stanley Harrington",male,38,2nd,S,United States,13,no
"Francatelli, Miss. Laura Mabel",female,32,1st,C,England,56.1807,yes
"Franklin, Mr. Thomas Parnham",male,37,1st,S,England,26.11,no
"Frauenthal, Dr. Henry William",male,49,1st,S,United States,133.13,yes
"Frauenthal, Mr. Isaac Gerald",male,43,1st,C,United States,27.1405,yes
"Frauenthal, Mrs. Clara",female,42,1st,S,United States,133.13,yes
"Frölicher, Miss. Hedwig Margaritha",female,22,1st,C,Switzerland,49.1,yes
"Frölicher-Stehli, Mr. Maximilian Josef",male,60,1st,C,Switzerland,79.04,yes
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48,1st,C,Switzerland,79.04,yes
"Frost, Mr. Anthony Wood",male,39,2nd,B,England,NA,no
"Fry, Mr. Richard",male,39,1st,S,England,NA,no
"Funk, Miss. Annie Clemmer",female,38,2nd,S,India,13,no
"Futrelle, Mr. Jacques Heath",male,37,1st,S,England,53.02,no
"Futrelle, Mrs. Lily May",female,35,1st,S,England,53.02,yes
"Fynney, Mr. Joseph J.",male,36,2nd,S,England,26,no
"Gale, Mr. Harry",male,38,2nd,S,England,21,no
"Gale, Mr. Shadrach",male,33,2nd,S,England,21,no
"Gallagher, Mr. Martin",male,29,3rd,Q,Ireland,7.141,no
"Garfirth, Mr. John",male,23,3rd,S,England,14.1,no
"Garside, Miss. Ethel",female,39,2nd,S,England,13,yes
"Gaskell, Mr. William Alfred",male,19,2nd,S,England,26,no
"Gavey, Mr. Laurence",male,26,2nd,S,Channel Islands,10.1,no
"Gee, Mr. Arthur H.",male,47,1st,S,England,38.1,no
"George/Joseph, Mrs. Shawneene",female,38,3rd,C,United States,7.0407,yes
"Gerios Thamah, Mr. Assaf",male,21,3rd,C,Lebanon,7.0406,no
"Gheorgheff, Mr. Stanio",male,NA,3rd,C,Bulgaria,7.1711,no
"Gibson, Miss. Dorothy Winifred",female,22,1st,C,United States,59.08,yes
"Gibson, Mrs. Pauline Caroline",female,44,1st,C,United States,59.08,yes
"Gieger, Miss. Amalie",female,35,1st,S,NA,211.1,yes
"Giglio, Mr. Victor Gaitan Andrea",male,23,1st,C,NA,79.04,no
"Gilbert, Mr. William",male,47,2nd,S,England,10.1,no
"Giles, Mr. Edgar",male,19,2nd,S,England,11.1,no
"Giles, Mr. Frederick Edward",male,21,2nd,S,England,11.1,no
"Giles, Mr. Ralph",male,24,2nd,S,England,13.1,no
"Gilinski, Mr. Eliezer",male,23,3rd,S,Wales,8.01,no
"Gillespie, Mr. William Henry",male,31,2nd,S,Ireland,13,no
"Gill, Mr. John",male,24,2nd,S,England,13,no
"Gilnagh, Miss. Katherine",female,17,3rd,Q,Ireland,7.1408,yes
"Givard, Mr. Hans Kristensen",male,30,2nd,S,Argentina,13,no
"Glynn, Miss. Mary Agatha",female,18,3rd,Q,Ireland,7.15,yes
"Goldenberg, Mr. Samuel L.",male,47,1st,C,United States,89.0201,yes
"Goldenberg, Mrs. Nella",female,40,1st,C,United States,89.0201,yes
"Goldschmidt, Mr. George B.",male,71,1st,C,United States,34.1301,no
"Goldsmith, Master. Frank John William",male,9,3rd,S,England,20.1006,yes
"Goldsmith, Mr. Frank John",male,33,3rd,S,England,20.1006,no
"Goldsmith, Mr. Nathan",male,41,3rd,S,NA,7.17,no
"Goldsmith, Mrs. Emily Alice",female,31,3rd,S,England,20.1006,yes
"Goodwin, Master. Harold Victor",male,9,3rd,S,England,46.18,no
"Goodwin, Master. Sidney Leslie",male,1,3rd,S,England,46.18,no
"Goodwin, Master. William Frederick",male,11,3rd,S,England,46.18,no
"Goodwin, Miss. Jessie Allis",female,10,3rd,S,England,46.18,no
"Goodwin, Miss. Lillian Amy",female,16,3rd,S,England,46.18,no
"Goodwin, Mr. Charles Edward",male,14,3rd,S,England,46.18,no
"Goodwin, Mr. Frederick Joseph",male,42,3rd,S,England,46.18,no
"Goodwin, Mrs. Augusta",female,43,3rd,S,England,46.18,no
"Gracie, Colonel. Archibald",male,53,1st,S,United States,28.1,yes
"Graham, Miss. Margaret Edith",female,19,1st,S,England,153.0903,yes
"Graham, Mr. George Edward",male,38,1st,S,Canada,30,no
"Graham, Mrs. Edith",female,59,1st,S,England,153.0903,yes
"Greenberg, Mr. Samuel",male,52,2nd,S,South Africa,13,no
"Greenfield, Mrs. Blanche",female,45,1st,C,United States,63.0702,yes
"Greenfield, Mr. William Bertram",male,23,1st,C,United States,63.0702,yes
"Green, Mr. George",male,20,engineering crew,S,England,NA,no
"Green, Mr. George",male,41,3rd,S,England,8.01,no
"Grønnestad, Mr. Daniel Danielsen",male,32,3rd,S,Norway,8.0615,no
"Guest, Mr. Charles Robert",male,25,3rd,S,England,8.01,no
"Guggenheim, Mr. Benjamin",male,46,1st,C,France,79.04,no
"Gustafsson, Mr. Alfred Ossian",male,19,3rd,S,Finland,9.1611,no
"Gustafsson, Mr. Anders Vilhelm",male,37,3rd,S,Finland,7.1806,no
"Gustafsson, Mr. Johan Birger",male,28,3rd,S,Finland,7.1806,no
"Gustafsson, Mr. Karl Gideon",male,19,3rd,S,Sweden,7.1506,no
"Haas, Miss. Aloisia",female,24,3rd,S,Switzerland,8.17,no
"Hagland, Mr. Ingvald Olai Olsen",male,28,3rd,S,Norway,6.1904,no
"Hagland, Mr. Konrad Mathias Reiersen",male,19,3rd,S,Norway,6.1904,no
"Hakkarainen, Mr. Pekka Pietari",male,28,3rd,S,Finland,15.17,no
"Hakkarainen, Mrs. Elin Matilda",female,24,3rd,S,Finland,15.17,yes
"Hale, Mr. Reginald",male,30,2nd,S,England,13,no
"Hämäläinen, Master. Viljo Unto Johannes",male,0.5833333333,2nd,S,United States,14.1,yes
"Hämäläinen, Mrs. Anna",female,23,2nd,S,United States,14.1,yes
"Hampe, Mr. Léon Jérome",male,19,3rd,S,Belgium,9.1,no
"Hannah, Mr. Borak",male,27,3rd,C,Lebanon,7.0407,yes
"Hanna, Mr. Boulos",male,18,3rd,C,Lebanon,7.0406,no
"Hanna, Mr. Mansour",male,35,3rd,C,Lebanon,7.0407,no
"Hansen, Mr. Claus Peter",male,41,3rd,S,United States,14.0202,no
"Hansen, Mr. Henrik Juul",male,26,3rd,S,Denmark,7.1701,no
"Hansen, Mr. Henry Damsgaard",male,21,3rd,S,Denmark,7.1701,no
"Hansen, Mrs. Jennie Louise",female,45,3rd,S,United States,14.0202,yes
"Harbeck, Mr. William H.",male,45,2nd,S,United States,13,no
"Harder, Mr. George Achilles",male,25,1st,C,United States,55.081,yes
"Harder, Mrs. Dorothy",female,21,1st,C,United States,55.081,yes
"Hargadon, Miss. Catherine",female,17,3rd,Q,Ireland,7.1408,no
"Harknett, Miss. Alice Phoebe",female,21,3rd,S,England,7.11,no
"Harper, Miss. Annie Jessie",female,6,2nd,S,Scotland,33,yes
"Harper, Mr. Henry Sleeper",male,48,1st,C,United States,76.1407,yes
"Harper, Mrs. Myra Raymond",female,49,1st,C,United States,76.1407,yes
"Harper, Rev. John",male,39,2nd,S,Scotland,33,no
"Harrington, Mr. Charles Henry",male,37,1st,S,England,42.08,no
"Harris, Mr. George",male,62,2nd,S,England,10.1,yes
"Harris, Mr. Henry Birkhardt",male,45,1st,S,United States,83.0906,no
"Harris, Mrs. Irene",female,35,1st,S,United States,83.0906,yes
"Harris, Mr. Walter",male,45,2nd,S,England,10.1,no
"Harrison, Mr. William Henry",male,46,1st,S,England,NA,no
"Hartley, Mr. Wallace Henry",male,33,2nd,S,England,NA,no
"Hart, Miss. Eva Miriam",female,7,2nd,S,England,26.05,yes
"Hart, Mr. Benjamin",male,47,2nd,S,England,26.05,no
"Hart, Mr. Henry",male,29,3rd,Q,Ireland,6.1702,no
"Hart, Mrs. Esther Ada",female,48,2nd,S,England,26.05,yes
"Hassab, Mr. Hammad",male,27,1st,C,Egypt,76.1407,yes
"Hawksford, Mr. Walter James",male,45,1st,S,England,30,yes
"Hays, Miss. Margaret Bechstein",female,24,1st,C,United States,83.0302,yes
"Hays, Mr. Charles Melville",male,55,1st,S,Canada,93.1,no
"Hays, Mrs. Clara Jennings",female,52,1st,S,Canada,93.1,yes
"Head, Mr. Christopher",male,42,1st,S,England,42.1,no
"Healy, Miss. Honor",female,33,3rd,Q,Ireland,7.15,yes
"Hedman, Mr. Oskar Arvid",male,27,3rd,S,Sweden,6.1906,yes
"Hee, Mr. Ling",male,24,3rd,S,NA,56.0911,yes
"Hegarty, Miss. Hanora",female,20,3rd,Q,Ireland,6.15,no
"Heikkinen, Miss. Laina",female,16,3rd,S,Finland,7.1806,yes
"Heininen, Miss. Wendla Maria",female,23,3rd,S,Finland,7.1806,no
"Hellström, Miss. Hilda Maria",female,22,3rd,S,Sweden,8.1903,yes
"Hendekovic, Mr. Ignjac",male,30,3rd,S,Hungary,7.1711,no
"Henriksson, Miss. Jenny Lovisa",female,28,3rd,S,Sweden,7.1506,no
"Henry, Miss. Bridget Delia",female,21,3rd,Q,Ireland,7.15,no
"Herman, Miss. Alice",female,24,2nd,S,England,65,yes
"Herman, Miss. Kate",female,24,2nd,S,England,65,yes
"Herman, Mr. Samuel",male,50,2nd,S,England,65,no
"Herman, Mrs. Jane",female,50,2nd,S,India,65,yes
"Hewlett, Mrs. Mary Dunbar",female,56,2nd,S,India,16,yes
"Hickman, Mr. Leonard Mark",male,24,2nd,S,England,73.1,no
"Hickman, Mr. Lewis",male,30,2nd,S,England,73.1,no
"Hickman, Mr. Stanley George",male,21,2nd,S,England,73.1,no
"Hilliard, Mr. Herbert Henry",male,44,1st,S,England,51.1703,no
"Hiltunen, Miss. Marta",female,18,2nd,S,Finland,13,no
"Hipkins, Mr. William Edward",male,55,1st,S,England,50,no
"Hippach, Miss. Jean Gertrude",female,17,1st,C,United States,57.1907,yes
"Hippach, Mrs. Ida Sophia",female,44,1st,C,United States,57.1907,yes
"Hirvonen, Miss. Hildur Elisabeth",female,2,3rd,S,Finland,12.0509,yes
"Hirvonen, Mrs. Helga Elisabeth Lindqvist",female,22,3rd,S,Finland,12.0509,yes
"Hocking, Miss. Ellen",female,20,2nd,S,England,23,yes
"Hocking, Mr. Richard George",male,24,2nd,S,England,11.1,no
"Hocking, Mr. Samuel James Metcalfe",male,36,2nd,S,England,13,no
"Hocking, Mrs. Eliza",female,54,2nd,S,England,23,yes
"Hodges, Mr. Henry Price",male,50,2nd,S,England,13,no
"Hogeboom, Mrs. Anna Louisa",female,51,1st,C,United States,77.1902,yes
"Hold, Mrs. Annie Margaret",female,29,2nd,S,England,26,yes
"Hold, Mr. Stephen",male,44,2nd,S,England,26,no
"Holm, Mr. John Fredrik Alexander",male,43,3rd,S,Sweden,6.09,no
"Holthen, Mr. Johan Martin",male,18,3rd,S,Norway,22.1006,no
"Holverson, Mr. Alexander Oskar",male,42,1st,S,United States,52,no
"Holverson, Mrs. Mary Aline",female,35,1st,S,United States,52,yes
"Homer, Mr. Harry",male,40,1st,S,United States,26.11,yes
"Honkanen, Miss. Eliina",female,27,3rd,S,Finland,7.1806,yes
"Hood, Mr. Ambrose Jr",male,21,2nd,S,England,73.1,no
"Horgan, Mr. John",male,22,3rd,Q,NA,7.15,no
"Hosono, Mr. Masabumi",male,41,2nd,S,Japan,13,yes
"Howard, Miss. May Elizabeth",female,26,3rd,S,England,8.01,yes
"Howard, Mr. Benjamin",male,63,2nd,S,England,26,no
"Howard, Mrs. Ellen Truelove",female,61,2nd,S,England,26,no
"Hoyt, Mr. Frederick Maxfield",male,38,1st,S,United States,100,yes
"Hoyt, Mrs. Jane Anne",female,31,1st,S,United States,100,yes
"Hoyt, Mr. William Fisher",male,43,1st,C,United States,30.1311,no
"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,3rd,S,Norway,7.13,no
"Hume, Mr. John Law",male,21,2nd,S,NA,NA,no
"Hunt, Mr. George Henry",male,34,2nd,S,England,12.0506,no
"Hyman, Mr. Abraham Joseph",male,34,3rd,S,England,7.1709,yes
"Ibrāhīm, Mr. Husayn Mahmūd Husayn",male,11,3rd,C,NA,18.1509,no
"Ibrāhīm, Mrs. Sāfiyah",female,18,3rd,C,Syria,7.0407,yes
"Ibrahim Shawah, Mr. Yousseff",male,33,3rd,C,Lebanon,14.0902,no
"Icard, Miss. Rose Amélie",female,39,1st,S,NA,80,yes
"Ilett, Miss. Bertha",female,17,2nd,S,Channel Islands,10.1,yes
"Ilieff, Mr. Ylio",male,32,3rd,S,NA,7.1711,no
"Ilmakangas, Miss. Ida Livija",female,17,3rd,S,United States,7.1806,no
"Ilmakangas, Miss. Pieta Sofia",female,25,3rd,S,Finland,7.1806,no
"Isham, Miss. Ann Elizabeth",female,50,1st,C,United States,28.1403,no
"Ismay, Mr. Joseph Bruce",male,49,1st,S,England,NA,yes
"Ivanoff, Mr. Kanio",male,20,3rd,S,Bulgaria,7.1711,no
"Jabbur (Zabour), Miss. Hileni",female,16,3rd,C,NA,14.0901,no
"Jabbur (Zabour), Miss. Thamine",female,19,3rd,C,NA,14.0901,no
"Jacobsohn, Mrs. Amy Frances Christy",female,24,2nd,S,England,27,yes
"Jacobsohn, Mr. Sidney Samuel",male,42,2nd,S,South Africa,27,no
"Jalševac, Mr. Ivan",male,30,3rd,C,Croatia (Modern),7.1711,yes
"Jansson, Mr. Carl Olof",male,21,3rd,S,Sweden,7.1511,yes
"Jardim, Mr. José Neto",male,21,3rd,S,NA,7.01,no
"Jarvis, Mr. Denzil John",male,46,2nd,S,Wales,15,no
"Jefferys, Mr. Clifford Thomas",male,24,2nd,S,England,31.1,no
"Jefferys, Mr. Ernest Wilfred",male,21,2nd,S,England,31.1,no
"Jenkin, Mr. Stephen Curnow",male,32,2nd,S,England,10.1,no
"Jensen, Mr. Hans Peder",male,20,3rd,S,Denmark,7.1701,no
"Jensen, Mr. Niels Rasmus",male,48,3rd,S,Denmark,7.0101,no
"Jensen, Mr. Svend Lauritz",male,17,3rd,S,Denmark,7.1701,no
"Jermyn, Miss. Annie Jane",female,26,3rd,Q,Ireland,7.15,yes
"Jerwan, Mrs. Marie Marthe",female,23,2nd,C,United States,13.151,yes
"Johannesen, Mr. Bernt Johannes",male,29,3rd,S,Norway,8.0203,yes
"Johanson, Mr. Jakob Alfred",male,34,3rd,S,Finland,6.0911,no
"Johansson, Mr. Erik",male,22,3rd,S,Sweden,7.1511,no
"Johansson, Mr. Gustaf Joel",male,33,3rd,S,Sweden,8.1301,no
"Johansson, Mr. Karl Johan",male,31,3rd,S,United States,7.1506,no
"Johansson, Mr. Nils",male,29,3rd,S,United States,7.1701,no
"Johansson Palmquist, Mr. Oskar Leander",male,26,3rd,S,Sweden,7.1506,yes
"Johnson, Master. Harold Theodor",male,4,3rd,S,NA,11.0208,yes
"Johnson, Miss. Eleanor Ileen",female,1,3rd,S,NA,11.0208,yes
"Johnson, Mr. August",male,49,3rd,S,United States,NA,no
"Johnson, Mr. Malkolm Joackim",male,33,3rd,S,United States,7.1506,no
"Johnson, Mrs. Elisabeth Vilhelmina",female,26,3rd,S,NA,11.0208,yes
"Johnson, Mr. William Cahoone Jr.",male,19,3rd,S,United States,NA,no
"Johnston, Master. William Andrew",male,8,3rd,S,England,23.09,no
"Johnston, Miss. Catherine Nellie",female,7,3rd,S,England,23.09,no
"Johnston, Mr. Andrew Emslie",male,35,3rd,S,Scotland,23.09,no
"Johnston, Mrs. Eliza",female,36,3rd,S,Scotland,23.09,no
"Jones, Mr. Charles Cresson",male,46,1st,S,United States,26,no
"Jonkoff, Mr. Lalio",male,23,3rd,S,Bulgaria,7.1711,no
"Jonsson, Mr. Carl",male,25,3rd,S,Sweden,7.1701,yes
"Jönsson, Mr. Nils Hilding",male,27,3rd,S,Sweden,7.1701,no
"Joseph (Shahin), Mr. Elias",male,39,3rd,C,Lebanon,7.0407,no
"Julian, Mr. Henry Forbes",male,50,1st,S,England,26,no
"Jussila, Miss. Katriina",female,20,3rd,S,Finland,9.161,no
"Jussila, Miss. Mari Aina",female,21,3rd,S,Finland,9.161,no
"Jussila, Mr. Eiriik",male,32,3rd,S,Finland,7.1806,yes
"Kallio, Mr. Nikolai Erland",male,17,3rd,S,Finland,7.0206,no
"Kalvik, Mr. Johannes Halvorsen",male,21,3rd,S,Norway,8.0808,no
"Kantor, Mr. Sinai",male,34,2nd,S,Russia,26,no
"Kantor, Mrs. Miriam",female,24,2nd,S,Russia,26,yes
"Karajic, Mr. Milan",male,30,3rd,S,Hungary,7.1711,no
"Karlsson, Mr. Einar Gervasius",male,21,3rd,S,Sweden,7.1511,yes
"Karlsson, Mr. Julius Konrad Eugen",male,33,3rd,S,Sweden,7.1701,no
"Karlsson, Mr. Nils August",male,22,3rd,S,Sweden,7.1005,no
"Karnes, Mrs. Claire",female,22,2nd,S,United States,21,no
"Karun, Miss. Manca",female,5,3rd,C,Slovenia,13.0804,yes
"Karun, Mr. Franz",male,39,3rd,C,United States,13.0804,yes
"Katavelos, Mr. Vasilios G.",male,19,3rd,C,Greece,7.0407,no
"Keane, Miss. Nora Agnes",female,46,2nd,Q,Ireland,12.07,yes
"Keane, Mr. Andrew",male,23,3rd,Q,Ireland,7.15,no
"Keane, Mr. Daniel",male,35,2nd,Q,Ireland,12.07,no
"Keefe, Mr. Arthur",male,39,3rd,S,United States,7.05,no
"Keeping, Mr. Edwin Herbert",male,33,1st,S,England,211.1,no
"Kelly, Miss. Anna Katherine",female,20,3rd,Q,Ireland,7.15,yes
"Kelly, Miss. Mary",female,22,3rd,Q,Ireland,7.15,yes
"Kelly, Mr. James",male,19,3rd,S,Scotland,8.01,no
"Kelly, Mr. James",male,44,3rd,Q,Ireland,7.1607,no
"Kelly, Mr. James",male,44,engineering crew,S,England,NA,no
"Kelly, Mrs. Fanny Maria",female,49,2nd,S,England,13.1,yes
"Kennedy, Mr. John",male,24,3rd,Q,Ireland,7.15,yes
"Kent, Mr. Edward Austin",male,58,1st,C,United States,29.14,no
"Kenyon, Mr. Frederick Roland",male,41,1st,S,United States,51.1703,no
"Kenyon, Mrs. Marion Estelle",female,40,1st,S,United States,51.1703,yes
"Khalil, Mr. Betros",male,25,3rd,C,Lebanon,14.0901,no
"Khalil, Mrs. Zahie",female,20,3rd,C,Lebanon,14.0901,no
"Kiernan, Mr. John Joseph",male,25,3rd,Q,Ireland,7.15,no
"Kiernan, Mr. Philip",male,22,3rd,Q,Ireland,7.15,no
"Kilgannon, Mr. Thomas",male,22,3rd,Q,Ireland,7.1409,no
"Kimball, Mr. Edwin Nelson Jr.",male,42,1st,S,United States,52.1101,yes
"Kimball, Mrs. Susan Gertrude",female,45,1st,S,United States,52.1101,yes
"Kink-Heilmann, Miss. Luise Gretchen",female,4,3rd,S,Switzerland,22,yes
"Kink-Heilmann, Mrs. Luise",female,26,3rd,S,Switzerland,22,yes
"Kink, Miss. Maria",female,23,3rd,S,Switzerland,8.1303,no
"Kink, Mr. Anton",male,29,3rd,S,Switzerland,22,yes
"Kink, Mr. Vincenz",male,26,3rd,S,Switzerland,8.1303,no
"Kirkland, Fr. Charles Leonard",male,52,2nd,Q,United States,12.07,no
"Klaber, Mr. Herman",male,41,1st,S,United States,26.11,no
"Klasén, Miss. Gertrud Emilia",female,1,3rd,S,Sweden,12.0308,no
"Klasén, Mr. Klas Albin",male,18,3rd,S,Sweden,7.1701,no
"Klasén, Mrs. Hulda Kristina Eugenia",female,36,3rd,S,Sweden,12.0308,no
"Knight, Mr. Robert",male,41,2nd,B,Northern Ireland,NA,no
"Kraeff, Mr. Theodor",male,NA,3rd,C,Bulgaria,7.1711,no
"Krekorian, Mr. Neshan",male,25,3rd,C,Turkey,7.0407,yes
"Kreuchen, Miss. Emilie",female,29,1st,S,NA,211.0609,yes
"Krins, Mr. Georges Alexandre",male,23,2nd,S,England,NA,no
"Kutscher (Lithman), Mr. Simon",male,26,3rd,S,Scotland,7.11,no
"Kvillner, Mr. Johan Henrik Johannesson",male,31,2nd,S,Sweden,10.1,no
"Lahhūd Ishaq Mu'awwad, Mr. Sarkīs",male,35,3rd,C,Lebanon,7.0406,no
"Lahtinen, Fr. William",male,35,2nd,S,United States,26,no
"Lahtinen, Mrs. Anna Amelia",female,34,2nd,S,United States,26,no
"Laitinen, Miss. Kristina Sofia",female,37,3rd,S,Finland,9.1109,no
"Lamb, Mr. John J.",male,31,2nd,Q,Ireland,10.1402,no
"Lam, Mr. Ali",male,38,3rd,S,China/Hong Kong,56.0911,yes
"Lam, Mr. Len",male,23,3rd,S,NA,56.0911,no
"Landergren, Miss. Aurora Adelia",female,22,3rd,S,Sweden,7.05,yes
"Lane, Mr. Patrick",male,17,3rd,Q,Ireland,7.15,no
"Lang, Mr. Fang",male,32,3rd,S,NA,56.0911,yes
"Laroche, Miss. Louise",female,1,2nd,C,France,41.1107,yes
"Laroche, Miss. Simonne Marie Anne Andrée",female,3,2nd,C,France,41.1107,yes
"Laroche, Mr. Joseph Philippe Lemercier",male,25,2nd,C,France,41.1107,no
"Laroche, Mrs. Juliette Marie Louise",female,22,2nd,C,France,41.1107,yes
"Larsson, Mr. August Viktor",male,29,3rd,S,United States,9.0908,no
"Larsson, Mr. Bengt Edvin",male,29,3rd,S,Sweden,7.1506,no
"Larsson, Mr. Edvard",male,22,3rd,S,Sweden,7.1506,no
"Leader, Dr. Alice May",female,49,1st,S,United States,25.1807,yes
"Lefebvre, Master. Henry",male,5,3rd,S,NA,25.0904,no
"Lefebvre, Miss. Ida",female,3,3rd,S,NA,25.0904,no
"Lefebvre, Miss. Jeannie",female,8,3rd,S,NA,25.0904,no
"Lefebvre, Miss. Mathilde",female,12,3rd,S,NA,25.0904,no
"Lefebvre, Mrs. Frances Marie",female,40,3rd,S,NA,25.0904,no
"Lehmann, Miss. Bertha",female,17,2nd,C,Switzerland,12,yes
"Leinonen, Mr. Antti Gustaf",male,32,3rd,S,Finland,7.1806,no
"Leitch, Miss. Jessie Wills",female,31,2nd,S,Scotland,33,yes
"Lemore, Mrs. Amelia",female,39,2nd,S,England,10.1,yes
"Lennon, Miss. Mary",female,18,3rd,Q,Ireland,15.1,no
"Lennon, Mr. Denis",male,20,3rd,Q,Ireland,15.1,no
"Leroy, Miss. Berthe",female,27,1st,C,France,106.0806,yes
"Lester, Mr. James",male,41,3rd,S,England,24.03,no
"Lesueur, Mr. Gustave J.",male,35,1st,C,NA,512.0607,yes
"Lévy, Mr. René Jacques",male,37,2nd,S,Canada,12.1706,no
"Lewy, Mr. Ervin G.",male,30,1st,C,United States,27.1405,no
"Leyson, Mr. Robert William Norman",male,25,2nd,S,England,10.1,no
"Lievens, Mr. René Aimé",male,24,3rd,S,Belgium,9.1,no
"Lindahl, Miss. Agda Thorilda Viktoria",female,25,3rd,S,Sweden,7.1506,no
"Lindblom, Miss. Augusta Charlotta",female,45,3rd,S,England,7.15,no
"Lindeberg-Lind, Mr. Erik Gustaf",male,42,1st,S,Sweden,26.11,no
"Lindell, Mr. Edvard Bengtsson",male,36,3rd,S,Sweden,15.11,no
"Lindell, Mrs. Elin Gerda",female,30,3rd,S,Sweden,15.11,no
"Lindqvist, Mr. Eino William",male,20,3rd,S,Finland,7.1806,yes
"Lindström, Mrs. Sigrid",female,55,1st,C,Sweden,27.1405,yes
"Linehan, Mr. Michael",male,21,3rd,Q,Ireland,7.1707,no
"Lines, Miss. Mary Conover",female,16,1st,C,France,39.08,yes
"Lines, Mrs. Elizabeth Lindsey",female,50,1st,C,United States,39.08,yes
"Lingane, Mr. John",male,61,2nd,Q,Ireland,12.07,no
"Ling, Mr. Lee",male,28,3rd,S,NA,56.0911,no
"Linhart, Mr. Wenzel",male,27,3rd,S,Austria,9.1,no
"Livshin, Mr. David",male,25,3rd,S,Latvia,7.05,no
"Lobb, Mrs. Cordelia",female,34,3rd,S,England,16.02,no
"Lobb, Mr. William Arthur",male,31,3rd,S,England,16.02,no
"Lockyer, Mr. Edward Thomas",male,19,3rd,S,England,7.1707,no
"Longley, Miss. Gretchen Fiske",female,21,1st,C,United States,77.1902,yes
"Long, Mr. Milton Clyde",male,29,1st,S,United States,30,no
"Loring, Mr. Joseph Holland",male,30,1st,S,United States,45.1,no
"Louch, Mr. Charles",male,50,2nd,S,England,26,no
"Louch, Mrs. Alice Adelaide",female,43,2nd,S,England,26,yes
"Lovell, Mr. John Hall",male,20,3rd,S,England,7.05,no
"Lulic, Mr. Nikola",male,29,3rd,S,Croatia (Modern),8.1303,yes
"Lundahl, Mr. Johan Svensson",male,50,3rd,S,Sweden,7.0101,no
"Lundin, Miss. Olga Elida",female,23,3rd,S,United States,7.1701,yes
"Lundström, Mr. Thure Edvin",male,32,3rd,S,Sweden,7.1107,yes
"Lurette, Miss. Eugénie Elise",female,59,1st,C,France,146.1005,yes
